ID,Site Name,Latitude,Longitude
1,Recommended Site 1,25.432187,65.54652
2,Recommended Site 2,25.423196,65.547614
3,Recommended Site 3,25.408113,65.552948
4,Recommended Site 4,25.42584,65.544548
5,Recommended Site 5,25.419809,65.537543
6,Recommended Site 6,25.430757,65.541178
7,Recommended Site 7,25.415311,65.549513
8,Recommended Site 8,25.416136,65.543031
9,Recommended Site 9,25.403493,65.541239
10,Recommended Site 10,25.390863,65.530836
11,Recommended Site 11,25.399121,65.535503
12,Recommended Site 12,25.522588,66.532997
13,Recommended Site 13,25.547469,66.4442
14,Recommended Site 14,25.570735,66.399394
15,Recommended Site 15,25.59557,66.361006
16,Recommended Site 16,25.430347,66.57882
17,Recommended Site 17,25.485933,66.431605
